Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Barbados,BRB,52
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Belize,BLZ,84
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Bermuda,BMU,60
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Bolivia (Plurinational State of),BOL,68
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Brazil,BRA,76
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,British Virgin Islands,VGB,92
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Canada,CAN,124
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Cayman Islands,CYM,136
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Chile,CHL,152
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Colombia,COL,170
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Costa Rica,CRI,188
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Cuba,CUB,192
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Curaçao,CUW,531
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Dominica,DMA,212
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Dominican Republic,DOM,214
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Ecuador,ECU,218
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,El Salvador,SLV,222
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Falkland Islands (Malvinas),FLK,238
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,French Guiana,GUF,254
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Greenland,GRL,304
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Grenada,GRD,308
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Guadeloupe,GLP,312
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Guatemala,GTM,320
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Guyana,GUY,328
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Haiti,HTI,332
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Honduras,HND,340
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Jamaica,JAM,388
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Martinique,MTQ,474
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Mexico,MEX,484
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Montserrat,MSR,500
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Nicaragua,NIC,558
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Panama,PAN,591
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Paraguay,PRY,600
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Peru,PER,604
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Puerto Rico,PRI,630
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Barthélemy,BLM,652
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Kitts and Nevis,KNA,659
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Lucia,LCA,662
