Regional_Grouping,Region,Region_Code,Country,ISO3Code,M49_Code
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Australia,AUS,36
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Brunei Darussalam,BRN,96
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Cambodia,KHM,116
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,China,CHN,156
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Cook Islands,COK,184
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Democratic People's Republic of Korea,PRK,408
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Fiji,FJI,242
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Indonesia,IDN,360
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Japan,JPN,392
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Kiribati,KIR,296
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Lao People's Democratic Republic,LAO,418
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Malaysia,MYS,458
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Marshall Islands,MHL,584
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Micronesia (Federated States of),FSM,583
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Mongolia,MNG,496
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Myanmar,MMR,104
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Nauru,NRU,520
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,New Zealand,NZL,554
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Niue,NIU,570
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Palau,PLW,585
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Papua New Guinea,PNG,598
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Philippines,PHL,608
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Republic of Korea,KOR,410
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Samoa,WSM,882
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,Singapore,SGP,702
