Regional_Grouping,Region_Code,Region,Country,ISO3Code,M49Region_Code,M49_Code,FAO_CODE
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Botswana,BWA,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Eswatini,SWZ,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Lesotho,LSO,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Malawi,MWI,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Mozambique,MOZ,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Namibia,NAM,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),South Africa,ZAF,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Zambia,ZMB,,,
AU,AU_SOUTHERN_AFRICA,Southern Africa (African Union),Zimbabwe,ZWE,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Benin,BEN,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Burkina Faso,BFA,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Cabo Verde,CPV,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Côte d'Ivoire,CIV,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Gambia,GMB,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Ghana,GHA,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Guinea,GIN,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Guinea-Bissau,GNB,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Liberia,LBR,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Mali,MLI,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Niger,NER,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Nigeria,NGA,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Senegal,SEN,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Sierra Leone,SLE,,,
AU,AU_WESTERN_AFRICA,Western Africa (African Union),Togo,TGO,,,
AUREC,AUREC_AMU,Arab Maghreb Union (AMU),Algeria,DZA,,,
AUREC,AUREC_AMU,Arab Maghreb Union (AMU),Libya,LBY,,,
AUREC,AUREC_AMU,Arab Maghreb Union (AMU),Mauritania,MRT,,,
AUREC,AUREC_AMU,Arab Maghreb Union (AMU),Morocco,MAR,,,
AUREC,AUREC_AMU,Arab Maghreb Union (AMU),Tunisia,TUN,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Burundi,BDI,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Comoros,COM,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Democratic Republic of the Congo,COD,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Djibouti,DJI,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Egypt,EGY,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Eritrea,ERI,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Eswatini,SWZ,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Ethiopia,ETH,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Kenya,KEN,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Libya,LBY,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Madagascar,MDG,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Malawi,MWI,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Mauritius,MUS,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Rwanda,RWA,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Seychelles,SYC,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Somalia,SOM,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Sudan,SDN,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Tunisia,TUN,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Uganda,UGA,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Zambia,ZMB,,,
AUREC,AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),Zimbabwe,ZWE,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Benin,BEN,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Burkina Faso,BFA,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Central African Republic,CAF,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Chad,TCD,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Comoros,COM,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Côte d'Ivoire,CIV,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Djibouti,DJI,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Egypt,EGY,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Eritrea,ERI,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Gambia,GMB,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Ghana,GHA,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Guinea-Bissau,GNB,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Libya,LBY,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Mali,MLI,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Mauritania,MRT,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Morocco,MAR,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Niger,NER,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Nigeria,NGA,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Senegal,SEN,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Sierra Leone,SLE,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Somalia,SOM,,,
