ISO3Code,Regional_Grouping,Region,Region_Code
TJK,UNICEF_SOWC,World,
TKL,UNICEF_SOWC,World,
TKM,UNICEF_SOWC,World,
TLS,UNICEF_SOWC,World,
TON,UNICEF_SOWC,World,
TTO,UNICEF_SOWC,World,
TUN,UNICEF_SOWC,World,
TUR,UNICEF_SOWC,World,
TUV,UNICEF_SOWC,World,
TZA,UNICEF_SOWC,World,
UGA,UNICEF_SOWC,World,
UKR,UNICEF_SOWC,World,
URY,UNICEF_SOWC,World,
USA,UNICEF_SOWC,World,
UZB,UNICEF_SOWC,World,
VAT,UNICEF_SOWC,World,
VCT,UNICEF_SOWC,World,
VEN,UNICEF_SOWC,World,
VGB,UNICEF_SOWC,World,
VNM,UNICEF_SOWC,World,
VUT,UNICEF_SOWC,World,
WSM,UNICEF_SOWC,World,
YEM,UNICEF_SOWC,World,
ZAF,UNICEF_SOWC,World,
ZMB,UNICEF_SOWC,World,
ZWE,UNICEF_SOWC,World,
