ISO3Code,Regional_Grouping,Region,Region_Code
NAM,UNICEF_SOWC,World,UNICEF_World
NER,UNICEF_SOWC,World,UNICEF_World
NGA,UNICEF_SOWC,World,UNICEF_World
NIC,UNICEF_SOWC,World,UNICEF_World
NIU,UNICEF_SOWC,World,UNICEF_World
NLD,UNICEF_SOWC,World,UNICEF_World
NOR,UNICEF_SOWC,World,UNICEF_World
NPL,UNICEF_SOWC,World,UNICEF_World
NRU,UNICEF_SOWC,World,UNICEF_World
NZL,UNICEF_SOWC,World,UNICEF_World
OMN,UNICEF_SOWC,World,UNICEF_World
PAK,UNICEF_SOWC,World,UNICEF_World
PAN,UNICEF_SOWC,World,UNICEF_World
PER,UNICEF_SOWC,World,UNICEF_World
PHL,UNICEF_SOWC,World,UNICEF_World
PLW,UNICEF_SOWC,World,UNICEF_World
PNG,UNICEF_SOWC,World,UNICEF_World
POL,UNICEF_SOWC,World,UNICEF_World
PRK,UNICEF_SOWC,World,UNICEF_World
PRT,UNICEF_SOWC,World,UNICEF_World
PRY,UNICEF_SOWC,World,UNICEF_World
PSE,UNICEF_SOWC,World,UNICEF_World
QAT,UNICEF_SOWC,World,UNICEF_World
ROU,UNICEF_SOWC,World,UNICEF_World
RUS,UNICEF_SOWC,World,UNICEF_World
RWA,UNICEF_SOWC,World,UNICEF_World
SAU,UNICEF_SOWC,World,UNICEF_World
SDN,UNICEF_SOWC,World,UNICEF_World
SEN,UNICEF_SOWC,World,UNICEF_World
SGP,UNICEF_SOWC,World,UNICEF_World
SLB,UNICEF_SOWC,World,UNICEF_World
SLE,UNICEF_SOWC,World,UNICEF_World
SLV,UNICEF_SOWC,World,UNICEF_World
SMR,UNICEF_SOWC,World,UNICEF_World
SOM,UNICEF_SOWC,World,UNICEF_World
SRB,UNICEF_SOWC,World,UNICEF_World
SSD,UNICEF_SOWC,World,UNICEF_World
STP,UNICEF_SOWC,World,UNICEF_World
SUR,UNICEF_SOWC,World,UNICEF_World
SVK,UNICEF_SOWC,World,UNICEF_World
SVN,UNICEF_SOWC,World,UNICEF_World
SWE,UNICEF_SOWC,World,UNICEF_World
SWZ,UNICEF_SOWC,World,UNICEF_World
SYC,UNICEF_SOWC,World,UNICEF_World
SYR,UNICEF_SOWC,World,UNICEF_World
TCA,UNICEF_SOWC,World,UNICEF_World
TCD,UNICEF_SOWC,World,UNICEF_World
TGO,UNICEF_SOWC,World,UNICEF_World
THA,UNICEF_SOWC,World,UNICEF_World
TJK,UNICEF_SOWC,World,UNICEF_World
TKL,UNICEF_SOWC,World,UNICEF_World
TKM,UNICEF_SOWC,World,UNICEF_World
TLS,UNICEF_SOWC,World,UNICEF_World
TON,UNICEF_SOWC,World,UNICEF_World
